busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
25,12:50,12:51,12:53,平日,C,連接バス,,,,13:01,,13:04,,,13:08,,,,,,,13:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_025,WEEKDAY,NONE,,,true
26,13:00,13:01,13:03,平日,C,,,,,13:11,,13:14,13:15,,13:18,,,13:21,13:24,,13:26,13:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_026,WEEKDAY,NONE,,,false
27,13:20,13:21,13:23,平日,C,,,,,13:31,,13:34,13:35,,13:38,,,13:41,13:44,,13:46,13:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_027,WEEKDAY,NONE,,,false
28,13:30,13:31,13:33,平日,C,連接バス,,,,13:41,,13:44,,,13:48,,,,,,,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_028,WEEKDAY,NONE,,,true
29,13:40,13:41,13:43,平日,C,,,,,13:51,,13:54,13:55,,13:58,,,14:01,14:04,,14:06,14:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_029,WEEKDAY,NONE,,,false
30,14:00,14:01,14:03,平日,C,,,,,14:11,,14:14,14:15,,14:18,,,14:21,14:24,,14:26,14:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_030,WEEKDAY,NONE,,,false
31,14:20,14:21,14:23,平日,C,,,,,14:31,,14:34,14:35,,14:38,,,14:41,14:44,,14:46,14:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_031,WEEKDAY,NONE,,,false
32,14:35,14:36,14:38,平日,C,,,,,14:46,,14:49,14:50,,14:53,,,14:56,14:59,,15:01,15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_032,WEEKDAY,NONE,,,false
33,14:45,14:46,14:48,平日,C,連接バス/学休日運休,,,,14:56,,14:59,,,15:03,,,,,,,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_033,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,true
34,14:55,14:56,14:58,平日,C,,,,,15:06,,15:09,15:10,,15:13,,,15:16,15:19,,15:21,15:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_034,WEEKDAY,NONE,,,false
35,15:05,15:06,15:08,平日,C,連接バス,,,,15:16,,15:19,,,15:23,,,,,,,15:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_035,WEEKDAY,NONE,,,true
36,15:15,15:16,15:18,平日,C,,,,,15:26,,15:29,15:30,,15:34,,,15:37,15:40,,15:42,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_036,WEEKDAY,NONE,,,false
37,15:35,15:36,15:38,平日,C,,,,,15:46,,15:49,15:50,,15:54,,,15:57,16:00,,16:02,16:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_037,WEEKDAY,NONE,,,false
38,15:55,15:56,15:58,平日,C,,,,,16:06,,16:09,16:10,,16:14,,,16:17,16:20,,16:22,16:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_038,WEEKDAY,NONE,,,false
39,16:05,16:06,16:08,平日,C,連接バス,,,,16:17,,16:20,,,16:24,,,,,,,16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_039,WEEKDAY,NONE,,,true
40,16:15,16:16,16:18,平日,C,,,,,16:27,,16:30,16:31,,16:34,,,16:37,16:40,,16:42,16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_040,WEEKDAY,NONE,,,false
