busNo.,岐阜大学病院,柳戸橋,岐阜大学,種類,路線名,option,岐大口,繰舟橋,正木北,正木マーサ前,則武,北高前,忠節,忠節橋,西野町,本郷町,柳ヶ瀬西口,千手堂,徹明町,金宝町,名鉄岐阜,JR岐阜,正木東,さぎ山小学校北,青山中学校南,さぎ山東,自衛隊岐阜地本前,岐阜メモリアルセンター北,長良川国際会議場北口,長良橋北・鵜飼屋,長良橋南・川原町,岐阜公園・岐阜城,大仏南・妙照寺前,本町１丁目（岐阜市）,本町３丁目（岐阜市）,伊奈波通り,市役所・鶯谷高校口,今沢町,商工会議所前,柳ヶ瀬,加納桜道,加納附属小学校前,加納駅前,加納八幡町,茶所,上川手,領下,細畑,いりのと公園前,岐阜女子高前,岐南町三宅,id,baseDayType,operationRule,operatingStartMonth,operatingEndMonth,mayBeArticulatedBus
41,16:25,16:26,16:28,平日,C,連接バス/学休日運休,,,,16:37,,16:40,,,16:44,,,,,,,16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_041,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,true
42,16:30,16:31,16:33,平日,C,,,,,16:43,,16:46,16:47,,16:50,,,16:53,16:56,,16:58,17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_042,WEEKDAY,NONE,,,false
43,16:35,16:36,16:38,平日,C,連接バス/学休日運休,,,,16:47,,16:50,,,16:54,,,,,,,17:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_043,WEEKDAY,SCHOOL_HOLIDAY_EXCLUDED,,,true
44,16:45,16:46,16:48,平日,C,連接バス,,,,16:57,,17:01,,,17:05,,,,,,,17:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_044,WEEKDAY,NONE,,,true
45,16:55,16:56,16:58,平日,C,,,,,17:08,,17:12,17:13,,17:16,,,17:19,17:22,,17:24,17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_045,WEEKDAY,NONE,,,false
46,17:10,17:11,17:13,平日,C,,,,,17:24,,17:29,17:30,,17:34,,,17:37,17:40,,17:42,17:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_046,WEEKDAY,NONE,,,false
47,17:25,17:26,17:28,平日,C,,,,,17:39,,17:44,17:45,,17:49,,,17:52,17:55,,17:57,18:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_047,WEEKDAY,NONE,,,false
48,17:35,17:36,17:38,平日,C,,,,,17:49,,17:54,17:55,,17:59,,,18:02,18:05,,18:07,18:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_048,WEEKDAY,NONE,,,false
49,17:45,17:46,17:48,平日,C,,,,,17:59,,18:04,18:05,,18:08,,,18:11,18:14,,18:16,18:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_049,WEEKDAY,NONE,,,false
50,17:55,17:56,17:58,平日,C,,,,,18:09,,18:14,18:15,,18:18,,,18:21,18:24,,18:26,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weekday_c_050,WEEKDAY,NONE,,,false
